,Year,Total_LA_Intake_g_per_capita_day,LA_Intake_percent_calories,Plant_Fat_Ratio,Total_Calorie_Supply,Total_Fat_Supply_g,Total_Carb_Supply_g,Total_Protein_Supply_g,Population,Diabetes_Prevalence_Rate_AgeStandardised,Diabetes_Treatment_Rate_AgeStandardised,Obesity_Prevalence_AgeStandardised,BMI_AgeStandardised,Total_Cholesterol_AgeStandardised,NonHDL_Cholesterol_AgeStandardised,Dementia_Prevalence_Number,Dementia_Mortality_Rate_ASMR,CVD_Mortality_Rate_ASMR,LA_perc_kcal_lag5,LA_perc_kcal_lag10,LA_perc_kcal_lag15,LA_perc_kcal_lag20
Diabetes_Treatment_Rate_AgeStandardised,0.9977461671710676,0.8681137969805247,0.9127406750870942,0.5922459531902653,0.530496634196555,0.8586876512890693,0.5029184782532342,-0.053145581871348935,,0.9711746938728265,1.0,0.9965320913086543,,-0.9994911483573451,-0.9992240149413518,0.9947401929229569,0.4898290199379538,-0.9863321101848567,0.9099912880615572,0.9156988609026718,0.9309517054858472,0.9490715202507849
Obesity_Prevalence_AgeStandardised,0.9943808963277163,0.8693574034697303,0.9069221404192475,0.6138077245133706,0.5407137847917922,0.863348742193621,0.468420445563599,-0.04685873881079819,,0.9602790580323637,0.9965320913086543,1.0,,-0.9936889660954619,-0.9922367413900174,0.9997525697759042,0.5273679078207709,-0.9934107876819311,0.903128451063206,0.9109832852916518,0.9386396545467531,0.9491158846054064
BMI_AgeStandardised,,,,,,,,,,,,,,,,,,,,,,
Total_Cholesterol_AgeStandardised,-0.9876487708563373,-0.9286964902794559,-0.9336221085355685,-0.790435463878626,-0.8200889602938976,-0.9111061621935881,-0.10369560438772632,-0.08462895050543158,,-0.9894616854044742,-0.9994911483573451,-0.9936889660954619,,1.0,0.9988887046313075,-0.9998652410115535,-0.1723979708756322,0.9573654805276769,-0.9165309454840981,-0.9333494820796054,-0.9369692420798393,-0.9610277045013356
NonHDL_Cholesterol_AgeStandardised,-0.9793050362769338,-0.9189637868963978,-0.9263862402881581,-0.7653974339529608,-0.8068427064277556,-0.894961116738017,-0.13290430215609567,-0.0760458603405425,,-0.9907954154563403,-0.9992240149413518,-0.9922367413900174,,0.9988887046313075,1.0,-0.9999018215583907,-0.17184519612802682,0.9431235762661295,-0.9040661528161652,-0.9226949661671289,-0.9249594437821436,-0.9560926557780213
Dementia_Prevalence_Number,0.9995843135636167,0.047228427698346745,0.7197386868236769,-0.3692096807183178,-0.7728838404936443,-0.18895838293232511,-0.7815993814329865,-0.6869039477464735,,0.9937745567741556,0.9947401929229569,0.9997525697759042,,-0.9998652410115535,-0.9999018215583907,1.0,0.5134773341817368,-0.9747859242986442,0.6479694722929967,0.6746560434962535,0.8911072118855241,0.5528120427680988
Dementia_Mortality_Rate_ASMR,0.5173694491012036,0.15951735380952412,0.41082213100395265,-0.032331216738596624,-0.25356154434809786,-0.020609256054386793,-0.1866254126219312,-0.2963339309742041,,0.5599204753879778,0.4898290199379538,0.5273679078207709,,-0.1723979708756322,-0.17184519612802682,0.5134773341817368,1.0,-0.4072141754261796,0.16614846447205325,0.46898090571973655,0.45832963054918624,0.10645160321255817
CVD_Mortality_Rate_ASMR,-0.9818919388110712,-0.9439783984080029,-0.9380245399970562,-0.8869787856368009,-0.8196722888280032,-0.9583829594671166,0.052203954887953215,-0.06612538534794357,,-0.9258981569438436,-0.9863321101848567,-0.9934107876819311,,0.9573654805276769,0.9431235762661295,-0.9747859242986442,-0.4072141754261796,1.0,-0.9477281782297191,-0.9485239561709594,-0.9557900765015946,-0.959720072581546
LA_perc_kcal_lag5,0.979157513868423,0.9534024193695187,0.9575605336835242,0.8803545474512965,0.8840543223896975,0.9515080622793034,-0.37360306415185385,0.03216345713943872,,0.9087077224818998,0.9099912880615572,0.903128451063206,,-0.9165309454840981,-0.9040661528161652,0.6479694722929967,0.16614846447205325,-0.9477281782297191,1.0,0.953064159152474,0.9351530213666464,0.912968567658309
LA_perc_kcal_lag10,0.9751230800376024,0.9389320419244949,0.9464531591098463,0.8539823002142316,0.8466179385822002,0.9424840515511036,-0.2617690938002363,-0.12983611059851158,,0.9003547657084241,0.9156988609026718,0.9109832852916518,,-0.9333494820796054,-0.9226949661671289,0.6746560434962535,0.46898090571973655,-0.9485239561709594,0.953064159152474,1.0,0.9433559336919733,0.9117754095473719
LA_perc_kcal_lag15,0.9730027211900879,0.9133234869802817,0.9233836099400404,0.8040095856475854,0.7934493969496751,0.913149561882672,-0.13197121268433035,-0.1779772621629533,,0.9233975689343449,0.9309517054858472,0.9386396545467531,,-0.9369692420798393,-0.9249594437821436,0.8911072118855241,0.45832963054918624,-0.9557900765015946,0.9351530213666464,0.9433559336919733,1.0,0.934944463938806
LA_perc_kcal_lag20,0.9679141328660775,0.9184240738831221,0.9280559556098817,0.7902179786678983,0.7607163742795965,0.9057194166544165,0.1078486879343955,-0.018835359026734916,,0.9078556404424369,0.9490715202507849,0.9491158846054064,,-0.9610277045013356,-0.9560926557780213,0.5528120427680988,0.10645160321255817,-0.959720072581546,0.912968567658309,0.9117754095473719,0.934944463938806,1.0
